task,model,condition,seed,family,label,support,pred_count,tp,fp,fn,precision,recall,f1,source_file
pubmedqa,qwen05b,base,,frozen_baseline,yes,56,17,12,5,44,0.7058823529411765,0.21428571428571427,0.3287671232876712,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,no,34,0,0,0,34,0.0,0.0,0.0,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,maybe,10,83,9,74,1,0.10843373493975904,0.9,0.19354838709677422,runs/pubmedqa_qwen05b_base_test100.jsonl
medmcqa,qwen05b,base,,frozen_baseline,A,323,884,289,595,34,0.3269230769230769,0.8947368421052632,0.4788732394366197,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,B,267,1,1,0,266,1.0,0.003745318352059925,0.007462686567164179,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,C,219,2,2,0,217,1.0,0.0091324200913242,0.01809954751131222,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,D,191,113,25,88,166,0.22123893805309736,0.13089005235602094,0.16447368421052633,runs/qwen05b_base_medmcqa_val1000.jsonl
medqa,qwen05b,base,,frozen_baseline,A,353,1061,311,750,42,0.293119698397738,0.8810198300283286,0.43988684582743987,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,B,309,5,2,3,307,0.4,0.006472491909385114,0.012738853503184716,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,C,346,7,3,4,343,0.42857142857142855,0.008670520231213872,0.016997167138810197,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,D,265,200,50,150,215,0.25,0.18867924528301888,0.21505376344086022,runs/qwen05b_base_medqa_test1273.jsonl
pubmedqa,qwen05b,full45k,42,self_update,yes,56,66,46,20,10,0.696969696969697,0.8214285714285714,0.7540983606557378,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,no,34,29,18,11,16,0.6206896551724138,0.5294117647058824,0.5714285714285715,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,maybe,10,5,0,5,10,0.0,0.0,0.0,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,yes,56,63,43,20,13,0.6825396825396826,0.7678571428571429,0.7226890756302521,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,no,34,21,16,5,18,0.7619047619047619,0.47058823529411764,0.5818181818181817,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,maybe,10,16,2,14,8,0.125,0.2,0.15384615384615385,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,yes,56,62,46,16,10,0.7419354838709677,0.8214285714285714,0.7796610169491526,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,no,34,32,22,10,12,0.6875,0.6470588235294118,0.6666666666666667,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,maybe,10,6,2,4,8,0.3333333333333333,0.2,0.25,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
medmcqa,qwen05b,full45k,42,self_update,A,323,372,162,210,161,0.43548387096774194,0.5015479876160991,0.46618705035971225,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,B,267,318,107,211,160,0.33647798742138363,0.40074906367041196,0.36581196581196584,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,C,219,127,50,77,169,0.3937007874015748,0.228310502283105,0.2890173410404624,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
