task,model,condition,seed,family,gold_label,pred_label,count,source_file
pubmedqa,qwen05b,base,,frozen_baseline,yes,yes,12,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,yes,no,0,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,yes,maybe,44,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,no,yes,4,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,no,no,0,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,no,maybe,30,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,maybe,yes,1,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,maybe,no,0,runs/pubmedqa_qwen05b_base_test100.jsonl
pubmedqa,qwen05b,base,,frozen_baseline,maybe,maybe,9,runs/pubmedqa_qwen05b_base_test100.jsonl
medmcqa,qwen05b,base,,frozen_baseline,A,A,289,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,A,B,0,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,A,C,0,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,A,D,34,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,B,A,243,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,B,B,1,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,B,C,0,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,B,D,23,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,C,A,186,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,C,B,0,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,C,C,2,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,C,D,31,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,D,A,166,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,D,B,0,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,D,C,0,runs/qwen05b_base_medmcqa_val1000.jsonl
medmcqa,qwen05b,base,,frozen_baseline,D,D,25,runs/qwen05b_base_medmcqa_val1000.jsonl
medqa,qwen05b,base,,frozen_baseline,A,A,311,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,A,B,3,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,A,C,1,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,A,D,38,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,B,A,258,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,B,B,2,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,B,C,2,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,B,D,47,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,C,A,278,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,C,B,0,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,C,C,3,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,C,D,65,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,D,A,214,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,D,B,0,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,D,C,1,runs/qwen05b_base_medqa_test1273.jsonl
medqa,qwen05b,base,,frozen_baseline,D,D,50,runs/qwen05b_base_medqa_test1273.jsonl
pubmedqa,qwen05b,full45k,42,self_update,yes,yes,46,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,yes,no,8,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,yes,maybe,2,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,no,yes,13,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,no,no,18,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,no,maybe,3,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,maybe,yes,7,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,maybe,no,3,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,42,self_update,maybe,maybe,0,runs/qwen05b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,yes,yes,43,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,yes,no,3,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,yes,maybe,10,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,no,yes,14,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,no,no,16,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,no,maybe,4,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,maybe,yes,6,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,maybe,no,2,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,43,self_update,maybe,maybe,2,runs/qwen05b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,yes,yes,46,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,yes,no,8,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,yes,maybe,2,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,no,yes,10,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,no,no,22,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,no,maybe,2,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,maybe,yes,6,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,maybe,no,2,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen05b,full45k,44,self_update,maybe,maybe,2,runs/qwen05b_full45k_seed44_pubmedqa_test100.jsonl
medmcqa,qwen05b,full45k,42,self_update,A,A,162,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,A,B,90,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,A,C,25,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,A,D,46,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,B,A,99,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,B,B,107,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,B,C,27,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,B,D,34,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,C,A,58,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,C,B,70,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,C,C,50,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,C,D,41,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,D,A,53,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,D,B,51,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,D,C,25,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,42,self_update,D,D,62,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,A,A,200,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,A,B,62,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,A,C,31,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,A,D,30,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,B,A,108,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,B,B,94,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,B,C,33,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,B,D,32,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,C,A,58,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,C,B,50,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,C,C,74,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,C,D,37,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,D,A,66,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,D,B,38,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,D,C,23,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,D,D,64,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,A,A,181,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,A,B,78,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,A,C,32,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,A,D,32,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,B,A,92,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,B,B,103,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,B,C,36,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,B,D,36,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,C,A,46,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,C,B,68,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,C,C,74,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
